onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	12.836	2_false_affirm	1.0	3.946	Ned is slower than Max	Max is slower than Sam	Sam is slower than Rob	Sam is slower than Ned	Ned_2_false_affirm.wav
12.836	11.326	3_false_affirm	1.0	2.098	Nat is smaller than Rex	Rex is smaller than Bud	Bud is smaller than Doc	Doc is smaller than Nat	Nat_3_false_affirm.wav
24.162	4.507	control	1.0	1.24	n/a	n/a	n/a	n/a	n/a
28.669	12.074	2_true_affirm	1.0	3.149	Abe is taller than Ben	Ben is taller than Edd	Edd is taller than Fay	Abe is taller than Edd	Abe_2_true_affirm.wav
40.743	17.653	3_true_negate	0.0	n/a	Tai is shorter than Rex	Rex is shorter than Van	Van is shorter than Sol	Sol is not shorter than Tai	Tai_3_true_negate.wav
58.396	11.345	3_true_affirm	1.0	2.526	Lex is shorter than Jon	Jon is shorter than Moe	Moe is shorter than Nat	Lex is shorter than Nat	Lex_3_true_affirm.wav
69.741	3.594	control	1.0	0.665	n/a	n/a	n/a	n/a	n/a
73.335	12.215	2_true_affirm	1.0	2.6	Don is younger than Lee	Lee is younger than Mac	Mac is younger than Tom	Don is younger than Mac	Don_2_true_affirm.wav
85.55	4.514	control	1.0	0.896	n/a	n/a	n/a	n/a	n/a
90.064	4.874	control	1.0	1.571	n/a	n/a	n/a	n/a	n/a
94.938	17.662	3_false_negate	0.0	n/a	Bee is younger than Ted	Ted is younger than Rae	Rae is younger than Jon	Bee is not younger than Jon	Bee_3_false_negate.wav
112.6	13.464	2_true_affirm	1.0	3.851	Ebb is bigger than Pit	Pit is bigger than Ann	Ann is bigger than Ebb	Ebb is bigger than Ann	Ebb_2_true_affirm.wav
126.064	4.354	control	1.0	0.673	n/a	n/a	n/a	n/a	n/a
130.418	12.072	3_true_affirm	1.0	2.841	Jep is older than Nan	Nan is older than Lem	Lem is older than Sue	Jep is older than Sue	Jep_3_true_affirm.wav
142.49	3.879	control	1.0	1.001	n/a	n/a	n/a	n/a	n/a
146.369	11.923	2_false_negate	0.0	2.631	Dre is faster than Sue	Sue is faster than Ike	Ike is faster than Don	Dre is not faster than Ike	Dre_2_false_negate.wav
158.292	16.851	2_false_affirm	0.0	n/a	Don is bigger than Abe	Abe is bigger than Pam	Pam is bigger than Rex	Pam is bigger than Don	Don_2_false_affirm.wav
175.143	10.876	3_true_affirm	1.0	2.037	Don is faster than Max	Max is faster than Dee	Dee is faster than Sky	Don is faster than Sky	Don_3_true_affirm.wav
186.019	3.882	control	1.0	0.655	n/a	n/a	n/a	n/a	n/a
189.901	3.681	control	1.0	0.862	n/a	n/a	n/a	n/a	n/a
193.582	4.239	control	1.0	0.566	n/a	n/a	n/a	n/a	n/a
197.821	11.194	3_true_affirm	1.0	1.535	Joy is bigger than Gus	Gus is bigger than Ace	Ace is bigger than Kim	Joy is bigger than Kim	Joy_3_true_affirm.wav
209.015	10.929	2_true_affirm	1.0	1.662	Wes is older than Pam	Pam is older than Tim	Tim is older than Wes	Wes is older than Tim	Wes_2_true_affirm.wav
219.944	17.258	2_true_negate	0.0	n/a	Dan is slower than Van	Van is slower than Luz	Luz is slower than Bev	Luz is not slower than Dan	Dan_2_true_negate.wav
237.202	13.104	2_true_negate	0.0	4.367	Ron is smaller than Sam	Sam is smaller than Ace	Ace is smaller than Joe	Ace is not smaller than Ron	Ron_2_true_negate.wav
250.306	11.297	3_false_negate	1.0	2.384	Tim is faster than Eve	Eve is faster than Fay	Fay is faster than Sam	Tim is not faster than Sam	Tim_3_false_negate.wav
261.603	11.66	3_true_affirm	0.0	2.436	Bud is slower than Joe	Joe is slower than Liz	Liz is slower than Rex	Bud is slower than Rex	Bud_3_true_affirm.wav
