onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	16.857	2_false_affirm	0	n/a	Ned is slower than Max	Max is slower than Sam	Sam is slower than Rob	Sam is slower than Ned	Ned_2_false_affirm.wav
16.857	13.964	3_false_affirm	0	4.726	Nat is smaller than Rex	Rex is smaller than Bud	Bud is smaller than Doc	Doc is smaller than Nat	Nat_3_false_affirm.wav
30.821	4.725	control	1	1.466	n/a	n/a	n/a	n/a	n/a
35.546	14.599	2_true_affirm	1	5.714	Abe is taller than Ben	Ben is taller than Edd	Edd is taller than Fay	Abe is taller than Edd	Abe_2_true_affirm.wav
50.145	13.079	3_true_negate	1	3.39	Tai is shorter than Rex	Rex is shorter than Van	Van is shorter than Sol	Sol is not shorter than Tai	Tai_3_true_negate.wav
63.224	13.584	3_true_affirm	1	4.743	Lex is shorter than Jon	Jon is shorter than Moe	Moe is shorter than Nat	Lex is shorter than Nat	Lex_3_true_affirm.wav
76.808	3.507	control	1	0.642	n/a	n/a	n/a	n/a	n/a
80.315	14.145	2_true_affirm	1	4.502	Don is younger than Lee	Lee is younger than Mac	Mac is younger than Tom	Don is younger than Mac	Don_2_true_affirm.wav
94.46	4.219	control	1	0.598	n/a	n/a	n/a	n/a	n/a
98.679	3.797	control	1	0.515	n/a	n/a	n/a	n/a	n/a
102.476	13.688	3_false_negate	0	3.998	Bee is younger than Ted	Ted is younger than Rae	Rae is younger than Jon	Bee is not younger than Jon	Bee_3_false_negate.wav
116.164	13.2	2_true_affirm	1	3.563	Ebb is bigger than Pit	Pit is bigger than Ann	Ann is bigger than Ebb	Ebb is bigger than Ann	Ebb_2_true_affirm.wav
129.364	4.207	control	1	0.544	n/a	n/a	n/a	n/a	n/a
133.571	13.472	3_true_affirm	1	4.243	Jep is older than Nan	Nan is older than Lem	Lem is older than Sue	Jep is older than Sue	Jep_3_true_affirm.wav
147.043	3.597	control	1	0.729	n/a	n/a	n/a	n/a	n/a
150.64	13.406	2_false_negate	1	4.121	Dre is faster than Sue	Sue is faster than Ike	Ike is faster than Don	Dre is not faster than Ike	Dre_2_false_negate.wav
164.046	14.614	2_false_affirm	0	5.725	Don is bigger than Abe	Abe is bigger than Pam	Pam is bigger than Rex	Pam is bigger than Don	Don_2_false_affirm.wav
178.66	13.368	3_true_affirm	1	4.534	Don is faster than Max	Max is faster than Dee	Dee is faster than Sky	Don is faster than Sky	Don_3_true_affirm.wav
192.028	3.819	control	1	0.603	n/a	n/a	n/a	n/a	n/a
195.847	3.365	control	1	0.532	n/a	n/a	n/a	n/a	n/a
199.212	4.165	control	1	0.508	n/a	n/a	n/a	n/a	n/a
203.377	13.503	3_true_affirm	1	3.834	Joy is bigger than Gus	Gus is bigger than Ace	Ace is bigger than Kim	Joy is bigger than Kim	Joy_3_true_affirm.wav
216.88	13.915	2_true_affirm	1	4.639	Wes is older than Pam	Pam is older than Tim	Tim is older than Wes	Wes is older than Tim	Wes_2_true_affirm.wav
230.795	13.225	2_true_negate	1	3.942	Dan is slower than Van	Van is slower than Luz	Luz is slower than Bev	Luz is not slower than Dan	Dan_2_true_negate.wav
244.02	14.201	2_true_negate	0	5.534	Ron is smaller than Sam	Sam is smaller than Ace	Ace is smaller than Joe	Ace is not smaller than Ron	Ron_2_true_negate.wav
258.221	14.138	3_false_negate	1	5.261	Tim is faster than Eve	Eve is faster than Fay	Fay is faster than Sam	Tim is not faster than Sam	Tim_3_false_negate.wav
272.359	12.173	3_true_affirm	1	2.973	Bud is slower than Joe	Joe is slower than Liz	Liz is slower than Rex	Bud is slower than Rex	Bud_3_true_affirm.wav
