onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.618	2_true_affirm	1.0	1.747	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.618	10.592	3_true_affirm	1.0	1.316	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
21.21	10.866	3_false_negate	1.0	1.582	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
32.076	11.572	2_false_affirm	0.0	1.912	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
43.648	10.538	3_false_affirm	0.0	1.717	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
54.186	4.203	control	1.0	0.515	n/a	n/a	n/a	n/a	n/a
58.389	10.626	3_true_affirm	1.0	1.752	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
69.015	11.609	3_true_affirm	1.0	1.942	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
80.624	12.62	3_true_negate	0.0	2.937	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
93.244	11.918	3_false_negate	0.0	2.298	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
105.162	4.196	control	1.0	0.906	n/a	n/a	n/a	n/a	n/a
109.358	10.347	2_true_affirm	1.0	1.115	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
119.705	4.03	control	1.0	0.758	n/a	n/a	n/a	n/a	n/a
123.735	11.047	3_true_negate	1.0	1.81	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
134.782	3.431	control	1.0	0.618	n/a	n/a	n/a	n/a	n/a
138.213	4.182	control	1.0	0.568	n/a	n/a	n/a	n/a	n/a
142.395	4.543	control	1.0	0.849	n/a	n/a	n/a	n/a	n/a
146.938	11.867	2_true_affirm	1.0	2.205	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
158.805	11.39	2_true_affirm	1.0	1.683	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
170.195	10.815	2_true_negate	1.0	2.002	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
181.01	3.88	control	1.0	0.583	n/a	n/a	n/a	n/a	n/a
184.89	11.82	3_true_affirm	1.0	2.53	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
196.71	10.521	2_false_affirm	1.0	1.692	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
207.231	3.559	control	1.0	0.678	n/a	n/a	n/a	n/a	n/a
210.79	11.134	2_true_affirm	1.0	2.278	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
221.924	12.677	2_false_negate	1.0	3.445	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
234.601	3.433	control	1.0	0.617	n/a	n/a	n/a	n/a	n/a
