onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.583	2_true_affirm	1	1.622	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.583	10.045	3_true_affirm	1	0.735	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.628	10.59	3_false_negate	1	1.243	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
31.218	11.048	2_false_affirm	0	1.328	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
42.266	10.29	3_false_affirm	0	1.449	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
52.556	4.366	control	1	0.606	n/a	n/a	n/a	n/a	n/a
56.922	9.876	3_true_affirm	1	0.946	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
66.798	10.727	3_true_affirm	1	0.937	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
77.525	10.971	3_true_negate	1	1.238	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
88.496	10.788	3_false_negate	0	1.15	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
99.284	4.233	control	1	0.911	n/a	n/a	n/a	n/a	n/a
103.517	10.277	2_true_affirm	1	1.053	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
113.794	3.813	control	1	0.496	n/a	n/a	n/a	n/a	n/a
117.607	10.431	3_true_negate	1	1.202	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
128.038	3.498	control	1	0.68	n/a	n/a	n/a	n/a	n/a
131.536	4.215	control	1	0.599	n/a	n/a	n/a	n/a	n/a
135.751	4.317	control	1	0.623	n/a	n/a	n/a	n/a	n/a
140.068	11.092	2_true_affirm	1	1.375	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
151.16	10.955	2_true_affirm	1	1.227	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
162.115	10.335	2_true_negate	1	1.5	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
172.45	3.946	control	1	0.658	n/a	n/a	n/a	n/a	n/a
176.396	11.406	3_true_affirm	1	2.062	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
187.802	10.836	2_false_affirm	1	2.012	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
198.638	3.402	control	1	0.499	n/a	n/a	n/a	n/a	n/a
202.04	9.971	2_true_affirm	1	1.063	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
212.011	10.866	2_false_negate	1	1.638	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
222.877	9.843	control	1	1.043	n/a	n/a	n/a	n/a	n/a
