onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.757	2_true_affirm	1	1.022	All trabs are fast	All fast things are brown	Abe is a trab	Abe is fast	TRAB_2_true_affirm.wav
10.757	11.063	3_true_affirm	1	1.344	All hofs are black	All black things are fast	Doc is a hof	Doc is fast	HOF_3_true_affirm.wav
21.82	10.13	3_true_affirm	1	0.807	All jasps are small	All small things are blue	Jen is a jasp	Jen is blue	JASP_3_true_affirm.wav
31.95	10.542	2_true_affirm	1	1.194	All nasps are young	All young things are red	Wes is a nasp	Wes is young 	NASP_2_true_affirm.wav
42.492	11.137	3_true_negate	1	1.4	All drups are white	All white things are young	Moe is not white	Moe is not a drup	DRUP_3_true_negate.wav
53.629	10.477	2_false_negate	0	1.54	All goms are black	All black things are fast	Max is not a gom	Max is not black	GOM_2_false_negate.wav
64.106	9.891	3_false_affirm	1	1.057	All gofs are red	All red things are small	Ned is not small	Ned is a gof	GOF_3_false_affirm.wav
73.997	3.672	control	1	0.752	n/a	n/a	n/a	n/a	n/a
77.669	10.638	2_true_negate	1	1.415	All dreefs are red	All red things are short	Eve is not red	Eve is not a dreef	DREEF_2_true_negate.wav
88.307	3.365	control	1	0.547	n/a	n/a	n/a	n/a	n/a
91.672	4.319	control	1	0.542	n/a	n/a	n/a	n/a	n/a
95.991	11.008	2_false_affirm	1	1.659	All karns are big	All big things are brown	Nat is not big	Nat is a karn	KARN_2_false_affirm.wav
106.999	10.788	3_true_affirm	1	1.476	All larns are white	All white things are tall	Bud is a larn	Bud is tall	LARN_3_true_affirm.wav
117.787	11.045	3_false_negate	0	1.316	All gorns are blue	All blue things are fast	Cam is not a gorn	Cam is not fast 	GORN_3_false_negate.wav
128.832	9.868	2_true_affirm	1	0.948	All blons are pink	All pink things are young	Ken is a blon	Ken is pink  	BLON_2_true_affirm.wav
138.7	10.579	3_true_affirm	1	1.747	All keefs are white	All white things are small	Jay is a keef	Jay is small	KEEF_3_true_affirm.wav
149.279	3.398	control	1	0.578	n/a	n/a	n/a	n/a	n/a
152.677	3.848	control	1	0.51	n/a	n/a	n/a	n/a	n/a
156.525	10.195	3_false_affirm	1	0.945	All rabs are old	All old things are blue	Sam is not blue	Sam is a rab	RAB_3_false_affirm.wav
166.72	3.849	control	1	0.632	n/a	n/a	n/a	n/a	n/a
170.569	3.731	control	1	0.516	n/a	n/a	n/a	n/a	n/a
174.3	4.408	control	1	0.671	n/a	n/a	n/a	n/a	n/a
178.708	9.855	3_true_affirm	1	0.939	All puds are red	All red things are old	Roy is a pud	Roy is old 	PUD_3_true_affirm.wav
188.563	11.315	2_true_affirm	1	1.565	All nogs are young 	All young things are black	Rob is a nog	Rob is young	NOG_2_true_affirm.wav
199.878	11.389	2_true_negate	1	1.769	All babs are slow	All slow things are blue	Joe is not slow	Joe is not a bab	BAB_2_true_negate.wav
211.267	4.284	control	1	0.575	n/a	n/a	n/a	n/a	n/a
215.551	10.102	2_false_negate	1	1.302	All sarns are old	All old things are white	Flo is a sarn	Flo is not old	SARN_2_false_negate.wav
