onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.815	2_true_affirm	1.0	1.939	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.815	10.88	3_true_affirm	1.0	1.607	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
21.695	10.787	3_false_negate	1.0	1.516	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
32.482	11.463	2_false_affirm	0.0	1.802	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
43.945	10.276	3_false_affirm	0.0	1.443	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
54.221	6.14	control	1.0	2.476	n/a	n/a	n/a	n/a	n/a
60.361	10.375	3_true_affirm	1.0	1.531	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
70.736	11.231	3_true_affirm	1.0	1.531	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
81.967	11.281	3_true_negate	1.0	1.619	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
93.248	11.607	3_false_negate	0.0	1.991	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
104.855	3.94	control	1.0	0.674	n/a	n/a	n/a	n/a	n/a
108.795	11.001	2_true_affirm	1.0	1.776	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
119.796	3.894	control	1.0	0.639	n/a	n/a	n/a	n/a	n/a
123.69	11.58	3_true_negate	1.0	2.353	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
135.27	3.279	control	1.0	0.462	n/a	n/a	n/a	n/a	n/a
138.549	3.958	control	1.0	0.335	n/a	n/a	n/a	n/a	n/a
142.507	4.044	control	1.0	0.377	n/a	n/a	n/a	n/a	n/a
146.551	11.877	2_true_affirm	1.0	2.202	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
158.428	11.971	2_true_affirm	1.0	2.278	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
170.399	16.798	2_true_negate	0.0	n/a	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
187.197	3.709	control	1.0	0.442	n/a	n/a	n/a	n/a	n/a
190.906	12.349	3_true_affirm	1.0	3.074	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
203.255	12.384	2_false_affirm	1.0	3.559	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
215.639	3.403	control	1.0	0.518	n/a	n/a	n/a	n/a	n/a
219.042	10.504	2_true_affirm	1.0	1.641	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
229.546	10.817	2_false_negate	1.0	1.604	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
240.363	5.172	control	1.0	2.361	n/a	n/a	n/a	n/a	n/a
