onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.48	2_true_affirm	1.0	1.562	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.48	10.526	3_true_affirm	1.0	1.182	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
21.006	11.348	3_false_negate	1.0	2.023	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
32.354	11.565	2_false_affirm	0.0	1.824	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
43.919	10.114	3_false_affirm	0.0	1.252	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
54.033	4.597	control	1.0	0.877	n/a	n/a	n/a	n/a	n/a
58.63	12.322	3_true_affirm	1.0	3.39	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
70.952	10.969	3_true_affirm	1.0	1.235	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
81.921	10.836	3_true_negate	1.0	1.079	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
92.757	12.286	3_false_negate	0.0	2.661	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
105.043	3.953	control	1.0	0.627	n/a	n/a	n/a	n/a	n/a
108.996	10.057	2_true_affirm	1.0	0.805	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
119.053	3.865	control	1.0	0.525	n/a	n/a	n/a	n/a	n/a
122.918	13.924	3_true_negate	1.0	4.679	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
136.842	3.46	control	1.0	0.625	n/a	n/a	n/a	n/a	n/a
140.302	4.197	control	1.0	0.578	n/a	n/a	n/a	n/a	n/a
144.499	4.23	control	1.0	0.537	n/a	n/a	n/a	n/a	n/a
148.729	11.418	2_true_affirm	1.0	1.703	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
160.147	10.904	2_true_affirm	1.0	1.187	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
171.051	11.115	2_true_negate	1.0	2.26	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
182.166	4.134	control	1.0	0.838	n/a	n/a	n/a	n/a	n/a
186.3	12.729	3_true_affirm	1.0	3.401	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
199.029	11.776	2_false_affirm	1.0	2.936	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
210.805	3.763	control	1.0	0.86	n/a	n/a	n/a	n/a	n/a
214.568	10.94	2_true_affirm	1.0	2.007	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
225.508	10.794	2_false_negate	1.0	1.53	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
236.302	3.686	control	1.0	0.867	n/a	n/a	n/a	n/a	n/a
