onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	12.796	2_true_affirm	1.0	3.143	All trabs are fast	All fast things are brown	Abe is a trab	Abe is fast	TRAB_2_true_affirm.wav
12.796	11.674	3_true_affirm	1.0	1.981	All hofs are black	All black things are fast	Doc is a hof	Doc is fast	HOF_3_true_affirm.wav
24.47	10.498	3_true_affirm	1.0	1.229	All jasps are small	All small things are blue	Jen is a jasp	Jen is blue	JASP_3_true_affirm.wav
34.968	10.858	2_true_affirm	1.0	1.587	All nasps are young	All young things are red	Wes is a nasp	Wes is young 	NASP_2_true_affirm.wav
45.826	11.127	3_true_negate	1.0	1.448	All drups are white	All white things are young	Moe is not white	Moe is not a drup	DRUP_3_true_negate.wav
56.953	10.248	2_false_negate	0.0	1.388	All goms are black	All black things are fast	Max is not a gom	Max is not black	GOM_2_false_negate.wav
67.201	10.217	3_false_affirm	1.0	1.389	All gofs are red	All red things are small	Ned is not small	Ned is a gof	GOF_3_false_affirm.wav
77.418	3.631	control	1.0	0.744	n/a	n/a	n/a	n/a	n/a
81.049	11.045	2_true_negate	1.0	1.825	All dreefs are red	All red things are short	Eve is not red	Eve is not a dreef	DREEF_2_true_negate.wav
92.094	3.499	control	1.0	0.68	n/a	n/a	n/a	n/a	n/a
95.593	4.481	control	1.0	0.816	n/a	n/a	n/a	n/a	n/a
100.074	12.055	2_false_affirm	1.0	2.757	All karns are big	All big things are brown	Nat is not big	Nat is a karn	KARN_2_false_affirm.wav
112.129	12.608	3_true_affirm	1.0	3.328	All larns are white	All white things are tall	Bud is a larn	Bud is tall	LARN_3_true_affirm.wav
124.737	11.587	3_false_negate	0.0	1.901	All gorns are blue	All blue things are fast	Cam is not a gorn	Cam is not fast 	GORN_3_false_negate.wav
136.324	10.656	2_true_affirm	1.0	1.773	All blons are pink	All pink things are young	Ken is a blon	Ken is pink  	BLON_2_true_affirm.wav
146.98	10.584	3_true_affirm	1.0	1.759	All keefs are white	All white things are small	Jay is a keef	Jay is small	KEEF_3_true_affirm.wav
157.564	3.798	control	1.0	0.994	n/a	n/a	n/a	n/a	n/a
161.362	3.792	control	1.0	0.506	n/a	n/a	n/a	n/a	n/a
165.154	10.734	3_false_affirm	1.0	1.523	All rabs are old	All old things are blue	Sam is not blue	Sam is a rab	RAB_3_false_affirm.wav
175.888	6.398	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
182.286	6.397	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
188.683	4.702	control	1.0	1.034	n/a	n/a	n/a	n/a	n/a
193.385	10.517	3_true_affirm	1.0	1.633	All puds are red	All red things are old	Roy is a pud	Roy is old 	PUD_3_true_affirm.wav
203.902	11.58	2_true_affirm	1.0	1.906	All nogs are young 	All young things are black	Rob is a nog	Rob is young	NOG_2_true_affirm.wav
215.482	11.149	2_true_negate	1.0	1.529	All babs are slow	All slow things are blue	Joe is not slow	Joe is not a bab	BAB_2_true_negate.wav
226.631	4.566	control	1.0	0.897	n/a	n/a	n/a	n/a	n/a
231.197	10.696	2_false_negate	1.0	1.872	All sarns are old	All old things are white	Flo is a sarn	Flo is not old	SARN_2_false_negate.wav
