onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.233	2_true_affirm	1.0	1.363	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.233	10.415	3_true_affirm	1.0	1.134	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.648	10.874	3_false_negate	0.0	1.622	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
31.522	11.025	2_false_affirm	0.0	1.352	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
42.547	10.156	3_false_affirm	0.0	1.328	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
52.703	7.256	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
59.959	9.984	3_true_affirm	1.0	1.099	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
69.943	11.001	3_true_affirm	1.0	1.315	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
80.944	11.053	3_true_negate	1.0	1.383	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
91.997	10.833	3_false_negate	0.0	1.221	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
102.83	6.455	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
109.285	10.803	2_true_affirm	1.0	1.589	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
120.088	4.448	control	1.0	1.172	n/a	n/a	n/a	n/a	n/a
124.536	10.678	3_true_negate	1.0	1.445	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
135.214	3.615	control	1.0	0.794	n/a	n/a	n/a	n/a	n/a
138.829	4.398	control	1.0	0.772	n/a	n/a	n/a	n/a	n/a
143.227	4.621	control	1.0	0.951	n/a	n/a	n/a	n/a	n/a
147.848	12.554	2_true_affirm	1.0	2.887	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
160.402	11.662	2_true_affirm	1.0	1.984	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
172.064	12.711	2_true_negate	1.0	3.881	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
184.775	3.989	control	1.0	0.706	n/a	n/a	n/a	n/a	n/a
188.764	11.435	3_true_affirm	1.0	2.166	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
200.199	10.548	2_false_affirm	1.0	1.709	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
210.747	4.253	control	1.0	1.364	n/a	n/a	n/a	n/a	n/a
215.0	10.525	2_true_affirm	1.0	1.644	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
225.525	10.592	2_false_negate	1.0	1.371	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
236.117	3.683	control	1.0	0.862	n/a	n/a	n/a	n/a	n/a
