onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	11.114	2_true_affirm	1	1.434	All trabs are fast	All fast things are brown	Abe is a trab	Abe is fast	TRAB_2_true_affirm.wav
11.114	11.154	3_true_affirm	1	1.479	All hofs are black	All black things are fast	Doc is a hof	Doc is fast	HOF_3_true_affirm.wav
22.268	10.346	3_true_affirm	1	1.067	All jasps are small	All small things are blue	Jen is a jasp	Jen is blue	JASP_3_true_affirm.wav
32.614	11.611	2_true_affirm	1	2.344	All nasps are young	All young things are red	Wes is a nasp	Wes is young 	NASP_2_true_affirm.wav
44.225	11.481	3_true_negate	1	1.819	All drups are white	All white things are young	Moe is not white	Moe is not a drup	DRUP_3_true_negate.wav
55.706	11.216	2_false_negate	0	2.312	All goms are black	All black things are fast	Max is not a gom	Max is not black	GOM_2_false_negate.wav
66.922	10.575	3_false_affirm	1	1.742	All gofs are red	All red things are small	Ned is not small	Ned is a gof	GOF_3_false_affirm.wav
77.497	3.513	control	1	0.631	n/a	n/a	n/a	n/a	n/a
81.01	10.597	2_true_negate	1	1.358	All dreefs are red	All red things are short	Eve is not red	Eve is not a dreef	DREEF_2_true_negate.wav
91.607	3.515	control	1	0.711	n/a	n/a	n/a	n/a	n/a
95.122	4.27	control	1	0.601	n/a	n/a	n/a	n/a	n/a
99.392	11.665	2_false_affirm	1	2.388	All karns are big	All big things are brown	Nat is not big	Nat is a karn	KARN_2_false_affirm.wav
111.057	10.575	3_true_affirm	1	1.287	All larns are white	All white things are tall	Bud is a larn	Bud is tall	LARN_3_true_affirm.wav
121.632	11.482	3_false_negate	0	1.807	All gorns are blue	All blue things are fast	Cam is not a gorn	Cam is not fast 	GORN_3_false_negate.wav
133.114	10.263	2_true_affirm	1	1.375	All blons are pink	All pink things are young	Ken is a blon	Ken is pink  	BLON_2_true_affirm.wav
143.377	12.401	3_true_affirm	1	3.579	All keefs are white	All white things are small	Jay is a keef	Jay is small	KEEF_3_true_affirm.wav
155.778	3.648	control	1	0.83	n/a	n/a	n/a	n/a	n/a
159.426	4.124	control	1	0.841	n/a	n/a	n/a	n/a	n/a
163.55	12.818	3_false_affirm	1	3.582	All rabs are old	All old things are blue	Sam is not blue	Sam is a rab	RAB_3_false_affirm.wav
176.368	3.798	control	1	0.583	n/a	n/a	n/a	n/a	n/a
180.166	3.948	control	1	0.727	n/a	n/a	n/a	n/a	n/a
184.114	4.376	control	1	0.701	n/a	n/a	n/a	n/a	n/a
188.49	10.793	3_true_affirm	1	1.908	All puds are red	All red things are old	Roy is a pud	Roy is old 	PUD_3_true_affirm.wav
199.283	11.136	2_true_affirm	1	1.456	All nogs are young 	All young things are black	Rob is a nog	Rob is young	NOG_2_true_affirm.wav
210.419	11.761	2_true_negate	0	2.117	All babs are slow	All slow things are blue	Joe is not slow	Joe is not a bab	BAB_2_true_negate.wav
222.18	4.664	control	1	1.01	n/a	n/a	n/a	n/a	n/a
226.844	9.034	2_false_negate	1	0.234	All sarns are old	All old things are white	Flo is a sarn	Flo is not old	SARN_2_false_negate.wav
