onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	10.563	2_true_affirm	0.0	1.702	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
10.563	10.232	3_true_affirm	1.0	0.946	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.795	10.345	3_false_negate	1.0	1.057	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
31.14	11.794	2_false_affirm	0.0	2.115	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
42.934	9.761	3_false_affirm	0.0	0.927	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
52.695	4.464	control	1.0	0.798	n/a	n/a	n/a	n/a	n/a
57.159	9.767	3_true_affirm	1.0	0.877	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
66.926	10.885	3_true_affirm	1.0	1.219	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
77.811	10.986	3_true_negate	0.0	1.309	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
88.797	12.242	3_false_negate	0.0	2.611	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
101.039	3.681	control	1.0	0.418	n/a	n/a	n/a	n/a	n/a
104.72	10.279	2_true_affirm	1.0	1.058	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
114.999	3.908	control	1.0	0.639	n/a	n/a	n/a	n/a	n/a
118.907	10.718	3_true_negate	1.0	1.505	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
129.625	3.482	control	1.0	0.664	n/a	n/a	n/a	n/a	n/a
133.107	4.248	control	1.0	0.621	n/a	n/a	n/a	n/a	n/a
137.355	4.532	control	1.0	0.85	n/a	n/a	n/a	n/a	n/a
141.887	10.609	2_true_affirm	1.0	0.939	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
152.496	10.97	2_true_affirm	1.0	1.28	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
163.466	11.288	2_true_negate	0.0	2.467	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
174.754	5.964	control	1.0	2.701	n/a	n/a	n/a	n/a	n/a
180.718	10.219	3_true_affirm	1.0	0.929	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
190.937	9.722	2_false_affirm	0.0	0.89	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
200.659	3.26	control	1.0	0.391	n/a	n/a	n/a	n/a	n/a
203.919	10.174	2_true_affirm	1.0	1.287	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
214.093	10.704	2_false_negate	1.0	1.481	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
224.797	3.483	control	1.0	0.665	n/a	n/a	n/a	n/a	n/a
