onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	9.939	2_true_affirm	1.0	1.058	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
9.939	10.433	3_true_affirm	1.0	1.158	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.372	11.019	3_false_negate	1.0	1.715	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
31.391	11.011	2_false_affirm	0.0	1.35	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
42.402	10.754	3_false_affirm	0.0	1.937	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
53.156	7.247	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
60.403	9.751	3_true_affirm	1.0	0.817	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
70.154	10.939	3_true_affirm	1.0	1.26	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
81.093	11.35	3_true_negate	1.0	1.664	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
92.443	13.421	3_false_negate	0.0	3.809	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
105.864	3.275	control	0.0	0.013	n/a	n/a	n/a	n/a	n/a
109.139	10.202	2_true_affirm	1.0	0.984	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
119.341	3.471	control	1.0	0.212	n/a	n/a	n/a	n/a	n/a
122.812	10.323	3_true_negate	1.0	1.1	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
133.135	5.597	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
138.732	7.197	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
145.929	4.472	control	1.0	0.813	n/a	n/a	n/a	n/a	n/a
150.401	10.895	2_true_affirm	1.0	1.22	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
161.296	10.704	2_true_affirm	1.0	1.026	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
172.0	10.962	2_true_negate	1.0	2.128	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
182.962	6.438	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
189.4	9.932	3_true_affirm	1.0	0.645	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
199.332	10.334	2_false_affirm	1.0	1.499	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
209.666	5.151	control	1.0	2.255	n/a	n/a	n/a	n/a	n/a
214.817	10.082	2_true_affirm	1.0	1.201	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
224.899	11.121	2_false_negate	0.0	1.9	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
236.02	5.599	control	0.0	n/a	n/a	n/a	n/a	n/a	n/a
