onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	9.945	2_true_affirm	1.0	1.066	All progs are slow	All slow things are black	Gus is a prog 	Gus is slow	PROG_2_true_affirm.wav
9.945	10.423	3_true_affirm	1.0	1.132	All mogs are short	All short things are red	Pam is a mog	Pam is red	MOG_3_true_affirm.wav
20.368	10.875	3_false_negate	1.0	1.56	All smods are young	All young things are pink	Lex is a smod	Lex is not pink 	SMOD_3_false_negate.wav
31.243	11.442	2_false_affirm	0.0	1.755	All mods are pink	All pink things are tall	Jon is pink	Jon is a mod	MOD_2_false_affirm.wav
42.685	10.343	3_false_affirm	0.0	1.473	All plods are black	All black things are short	Tom is short	Tom is a plod 	PLOD_3_false_affirm.wav
53.028	4.666	control	1.0	1.009	n/a	n/a	n/a	n/a	n/a
57.694	10.13	3_true_affirm	1.0	1.225	All geds are big	All big things are brown	Lou is a ged	Lou is brown 	GED_3_true_affirm.wav
67.824	11.042	3_true_affirm	1.0	1.366	All peefs are blue	All blue things are big	Lee is a peef	Lee is big	PEEF_3_true_affirm.wav
78.866	11.523	3_true_negate	1.0	1.827	All rogs are green	All green things are tall	Mac is not tall	Mac is not a rog	ROG_3_true_negate.wav
90.389	11.007	3_false_negate	0.0	1.354	All brubs are green	All green things are old	Tim is not a brub	Tim is not old 	BRUB_3_false_negate.wav
101.396	3.945	control	1.0	0.664	n/a	n/a	n/a	n/a	n/a
105.341	10.283	2_true_affirm	1.0	1.026	All nufs are fast	All fast things are blue	Jef is a nuf	Jef is fast 	NUF_2_true_affirm.wav
115.624	4.756	control	1.0	1.496	n/a	n/a	n/a	n/a	n/a
120.38	10.508	3_true_negate	1.0	1.242	All slofs are red	All red things are slow	Liz is not slow	Liz is not a slof	SLOF_3_true_negate.wav
130.888	3.344	control	1.0	0.516	n/a	n/a	n/a	n/a	n/a
134.232	4.146	control	1.0	0.531	n/a	n/a	n/a	n/a	n/a
138.378	4.055	control	1.0	0.382	n/a	n/a	n/a	n/a	n/a
142.433	12.135	2_true_affirm	1.0	2.433	All zods are brown	All brown things are old	Kim is a zod	Kim is brown	ZOD_2_true_affirm.wav
154.568	11.091	2_true_affirm	1.0	1.397	All glums are green	All green things are slow	Lin is a glum	Lin is green 	GLUM_2_true_affirm.wav
165.659	10.169	2_true_negate	1.0	1.321	All grods are tall	All tall things are green	Rex is not tall	Rex is not a grod	GROD_2_true_negate.wav
175.828	3.955	control	1.0	0.697	n/a	n/a	n/a	n/a	n/a
179.783	10.518	3_true_affirm	1.0	1.207	All gluds are brown	All brown things are tall	Edd is a glud	Edd is tall 	GLUD_3_true_affirm.wav
190.301	10.388	2_false_affirm	0.0	1.545	All gufs are blue	All blue things are fast	Ben is not blue	Ben is a guf	GUF_2_false_affirm.wav
200.689	3.381	control	1.0	0.511	n/a	n/a	n/a	n/a	n/a
204.07	9.891	2_true_affirm	1.0	0.97	All mabs are white	All white things are tall	Ace is a mab	Ace is white	MAB_2_true_affirm.wav
213.961	10.652	2_false_negate	1.0	1.402	All pleefs are blue	All blue things are tall	Fay is a pleef	Fay is not blue	PLEEF_2_false_negate.wav
224.613	3.402	control	1.0	0.573	n/a	n/a	n/a	n/a	n/a
